waveform_number,event,row,carrier,asic,channel,seq_ch,max_amplitude,Waveform-X,Waveform-Y,Waveform-XY
1,45,45,2,3,6,94,2047,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63]","[   20    19    22    27    38    40    36    37    31    31    29    20
     6     3    -2    -4   -18   -29   -48   -51   -58   -56   -58   -63
   -62   -67   -67   -68   -71   -72   -72   -70   -22   -25   -19   -15
    -7    -6    -4     0    -4    -7    -3    -4    -2    -3    -4    -1
  1615  2040  2047 -1022  -783  -992  -926  -953   -97   -55   -74   -31
   -12   -23     5    -7]","[[    0    20]
 [    1    19]
 [    2    22]
 [    3    27]
 [    4    38]
 [    5    40]
 [    6    36]
 [    7    37]
 [    8    31]
 [    9    31]
 [   10    29]
 [   11    20]
 [   12     6]
 [   13     3]
 [   14    -2]
 [   15    -4]
 [   16   -18]
 [   17   -29]
 [   18   -48]
 [   19   -51]
 [   20   -58]
 [   21   -56]
 [   22   -58]
 [   23   -63]
 [   24   -62]
 [   25   -67]
 [   26   -67]
 [   27   -68]
 [   28   -71]
 [   29   -72]
 [   30   -72]
 [   31   -70]
 [   32   -22]
 [   33   -25]
 [   34   -19]
 [   35   -15]
 [   36    -7]
 [   37    -6]
 [   38    -4]
 [   39     0]
 [   40    -4]
 [   41    -7]
 [   42    -3]
 [   43    -4]
 [   44    -2]
 [   45    -3]
 [   46    -4]
 [   47    -1]
 [   48  1615]
 [   49  2040]
 [   50  2047]
 [   51 -1022]
 [   52  -783]
 [   53  -992]
 [   54  -926]
 [   55  -953]
 [   56   -97]
 [   57   -55]
 [   58   -74]
 [   59   -31]
 [   60   -12]
 [   61   -23]
 [   62     5]
 [   63    -7]]"
2,103,103,2,3,6,94,2047,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47]","[  53   56   59   55   57   65   77   78   78   81   87   92   84   80
   73   70   49   50   52   54   51   48   49   43   35   31   29   32
   29   33   48   57 1723 2090 2097 -970 -733 -942 -840 -867  -65   14
   -3   41   66   61   87   52]","[[   0   53]
 [   1   56]
 [   2   59]
 [   3   55]
 [   4   57]
 [   5   65]
 [   6   77]
 [   7   78]
 [   8   78]
 [   9   81]
 [  10   87]
 [  11   92]
 [  12   84]
 [  13   80]
 [  14   73]
 [  15   70]
 [  16   49]
 [  17   50]
 [  18   52]
 [  19   54]
 [  20   51]
 [  21   48]
 [  22   49]
 [  23   43]
 [  24   35]
 [  25   31]
 [  26   29]
 [  27   32]
 [  28   29]
 [  29   33]
 [  30   48]
 [  31   57]
 [  32 1723]
 [  33 2090]
 [  34 2097]
 [  35 -970]
 [  36 -733]
 [  37 -942]
 [  38 -840]
 [  39 -867]
 [  40  -65]
 [  41   14]
 [  42   -3]
 [  43   41]
 [  44   66]
 [  45   61]
 [  46   87]
 [  47   52]]"
3,320,320,1,2,7,55,1803,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63]","[  83   84   78   84   80   79   72   65   66   70   77   82   77   76
   74   72 1903  803  834 -974 -736 -966 -722 -713  -15   52   70   36
  107   45   81   45   81  127   85  137  121  101  117   81  119   97
  142   52   79  102  116  113  147  124  174  128   61   87  102  105
   97   83  140  104  137  116  112  111]","[[   0   83]
 [   1   84]
 [   2   78]
 [   3   84]
 [   4   80]
 [   5   79]
 [   6   72]
 [   7   65]
 [   8   66]
 [   9   70]
 [  10   77]
 [  11   82]
 [  12   77]
 [  13   76]
 [  14   74]
 [  15   72]
 [  16 1903]
 [  17  803]
 [  18  834]
 [  19 -974]
 [  20 -736]
 [  21 -966]
 [  22 -722]
 [  23 -713]
 [  24  -15]
 [  25   52]
 [  26   70]
 [  27   36]
 [  28  107]
 [  29   45]
 [  30   81]
 [  31   45]
 [  32   81]
 [  33  127]
 [  34   85]
 [  35  137]
 [  36  121]
 [  37  101]
 [  38  117]
 [  39   81]
 [  40  119]
 [  41   97]
 [  42  142]
 [  43   52]
 [  44   79]
 [  45  102]
 [  46  116]
 [  47  113]
 [  48  147]
 [  49  124]
 [  50  174]
 [  51  128]
 [  52   61]
 [  53   87]
 [  54  102]
 [  55  105]
 [  56   97]
 [  57   83]
 [  58  140]
 [  59  104]
 [  60  137]
 [  61  116]
 [  62  112]
 [  63  111]]"
4,382,382,2,2,0,80,2232,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63]","[ 158  162  168  167  169  170  165  162  152  149  148  155  164  163
  158  150  153  159  164  163  172  172  186  191  188  181  185  181
  183  174  170  172  140  142  144  146  147  150  152  152  149  152
  144  148  141  134  132  128 2018 2368 2382 -952 -662 -890 -903 -923
 -206 -171 -114  -89  -57  -61  -72 -101]","[[   0  158]
 [   1  162]
 [   2  168]
 [   3  167]
 [   4  169]
 [   5  170]
 [   6  165]
 [   7  162]
 [   8  152]
 [   9  149]
 [  10  148]
 [  11  155]
 [  12  164]
 [  13  163]
 [  14  158]
 [  15  150]
 [  16  153]
 [  17  159]
 [  18  164]
 [  19  163]
 [  20  172]
 [  21  172]
 [  22  186]
 [  23  191]
 [  24  188]
 [  25  181]
 [  26  185]
 [  27  181]
 [  28  183]
 [  29  174]
 [  30  170]
 [  31  172]
 [  32  140]
 [  33  142]
 [  34  144]
 [  35  146]
 [  36  147]
 [  37  150]
 [  38  152]
 [  39  152]
 [  40  149]
 [  41  152]
 [  42  144]
 [  43  148]
 [  44  141]
 [  45  134]
 [  46  132]
 [  47  128]
 [  48 2018]
 [  49 2368]
 [  50 2382]
 [  51 -952]
 [  52 -662]
 [  53 -890]
 [  54 -903]
 [  55 -923]
 [  56 -206]
 [  57 -171]
 [  58 -114]
 [  59  -89]
 [  60  -57]
 [  61  -61]
 [  62  -72]
 [  63 -101]]"
5,391,391,2,3,7,95,2051,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63]","[ 199  201  203  202  194  196  205  215  216  220  217  224  231  241
  245  236  231  227  233  234  235  233  230  229  228  229  220  214
  202  204  207  206  211  208  207  207  211  215  220  224  214  216
  216  222  224  221  209  207 2161 2240 2251 -828 -583 -792 -809 -836
  129  144  126  151  157  180  197  186]","[[   0  199]
 [   1  201]
 [   2  203]
 [   3  202]
 [   4  194]
 [   5  196]
 [   6  205]
 [   7  215]
 [   8  216]
 [   9  220]
 [  10  217]
 [  11  224]
 [  12  231]
 [  13  241]
 [  14  245]
 [  15  236]
 [  16  231]
 [  17  227]
 [  18  233]
 [  19  234]
 [  20  235]
 [  21  233]
 [  22  230]
 [  23  229]
 [  24  228]
 [  25  229]
 [  26  220]
 [  27  214]
 [  28  202]
 [  29  204]
 [  30  207]
 [  31  206]
 [  32  211]
 [  33  208]
 [  34  207]
 [  35  207]
 [  36  211]
 [  37  215]
 [  38  220]
 [  39  224]
 [  40  214]
 [  41  216]
 [  42  216]
 [  43  222]
 [  44  224]
 [  45  221]
 [  46  209]
 [  47  207]
 [  48 2161]
 [  49 2240]
 [  50 2251]
 [  51 -828]
 [  52 -583]
 [  53 -792]
 [  54 -809]
 [  55 -836]
 [  56  129]
 [  57  144]
 [  58  126]
 [  59  151]
 [  60  157]
 [  61  180]
 [  62  197]
 [  63  186]]"
6,904,904,2,0,0,64,2474,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63]","[ 246  246  240  241  237  234  239  240  244  245  246  241  386  261
  254  254  249  249  243  246  241  244  491  246  246  240  239  243
  240  244  237  242  256  252  249  246  250  248  250  252  258  261
  267  271  270  266  266  264 2724 2290 2299 -758 -533 -742 -445 -472
  159  219  232  249  272  264  228  227]","[[   0  246]
 [   1  246]
 [   2  240]
 [   3  241]
 [   4  237]
 [   5  234]
 [   6  239]
 [   7  240]
 [   8  244]
 [   9  245]
 [  10  246]
 [  11  241]
 [  12  386]
 [  13  261]
 [  14  254]
 [  15  254]
 [  16  249]
 [  17  249]
 [  18  243]
 [  19  246]
 [  20  241]
 [  21  244]
 [  22  491]
 [  23  246]
 [  24  246]
 [  25  240]
 [  26  239]
 [  27  243]
 [  28  240]
 [  29  244]
 [  30  237]
 [  31  242]
 [  32  256]
 [  33  252]
 [  34  249]
 [  35  246]
 [  36  250]
 [  37  248]
 [  38  250]
 [  39  252]
 [  40  258]
 [  41  261]
 [  42  267]
 [  43  271]
 [  44  270]
 [  45  266]
 [  46  266]
 [  47  264]
 [  48 2724]
 [  49 2290]
 [  50 2299]
 [  51 -758]
 [  52 -533]
 [  53 -742]
 [  54 -445]
 [  55 -472]
 [  56  159]
 [  57  219]
 [  58  232]
 [  59  249]
 [  60  272]
 [  61  264]
 [  62  228]
 [  63  227]]"
7,909,909,1,2,7,55,2392,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63]","[ 272  273  269  275  280  280  282  280  285  283  289  286  287  286
  284  280 2692 1003 1038 -782 -536 -766 -639 -630  202  254  245  245
  292  225  243  226  306  304  299  301  293  290  288  294  305  314
  318  318  320  321  327  325  322  326  330  330  342  341  337  330
  323  320  326  324  324  320  322  319]","[[   0  272]
 [   1  273]
 [   2  269]
 [   3  275]
 [   4  280]
 [   5  280]
 [   6  282]
 [   7  280]
 [   8  285]
 [   9  283]
 [  10  289]
 [  11  286]
 [  12  287]
 [  13  286]
 [  14  284]
 [  15  280]
 [  16 2692]
 [  17 1003]
 [  18 1038]
 [  19 -782]
 [  20 -536]
 [  21 -766]
 [  22 -639]
 [  23 -630]
 [  24  202]
 [  25  254]
 [  26  245]
 [  27  245]
 [  28  292]
 [  29  225]
 [  30  243]
 [  31  226]
 [  32  306]
 [  33  304]
 [  34  299]
 [  35  301]
 [  36  293]
 [  37  290]
 [  38  288]
 [  39  294]
 [  40  305]
 [  41  314]
 [  42  318]
 [  43  318]
 [  44  320]
 [  45  321]
 [  46  327]
 [  47  325]
 [  48  322]
 [  49  326]
 [  50  330]
 [  51  330]
 [  52  342]
 [  53  341]
 [  54  337]
 [  55  330]
 [  56  323]
 [  57  320]
 [  58  326]
 [  59  324]
 [  60  324]
 [  61  320]
 [  62  322]
 [  63  319]]"
