MSE,MAE,R2
17.28530110627986,2.778274416923523,0.9991733380136152
7.507632425405063,2.44807767868042,0.9997916990208365
378.0570612280362,10.83103322982788,0.9832049333000499
22.375565522623447,2.773516893386841,0.9993438695180298
64.40821446528258,4.313487648963928,0.9966372784170954
174.82951858905858,7.131427049636841,0.9805893652851358
205.71670502290726,8.486464500427246,0.9941588129164411
94.26916329647065,6.348663330078125,0.9948982497316323
5.277664420637905,2.0928202867507935,0.9997926398518547
1.5549203065465917,1.065412998199463,0.9998969836467805
