HLS_MSE,HLS_MAE,HLS_R2,Keras_MSE,Keras_MAE,Keras_R2
24.251364098299575,3.0614300966262817,0.9988401890892858,17.28530110627986,2.778274416923523,0.9991733380136152
4.760956426062466,1.6349886655807424,0.9998679061747952,7.507632425405063,2.44807767868042,0.9997916990208364
425.99921161407815,11.4687859416008,0.9810751182640415,378.0570612280362,10.83103322982788,0.98320493330005
41.67986547441432,3.99442672729492,0.9987777993725105,22.375565522623447,2.773516893386841,0.9993438695180298
82.13628730740407,5.030675768852234,0.9957117043476319,64.40821446528258,4.313487648963928,0.9966372784170954
202.1217073320774,7.777872323989875,0.9775592207732982,174.82951858905858,7.131427049636841,0.9805893652851358
195.80473301551373,8.58717250823976,0.9944402566759828,205.7167050229073,8.486464500427246,0.9941588129164411
103.95787089526311,6.438482284545898,0.9943739068302657,94.26916329647064,6.348663330078125,0.9948982497316324
10.144027866295751,2.7312570810318135,0.9996014397745867,5.277664420637905,2.092820286750793,0.9997926398518548
2.172834872715839,1.4330127239227295,0.999856045661123,1.5549203065465915,1.065412998199463,0.9998969836467804
